case_id,driver_age,vehicle_price,deductible,driver_rating,past_number_of_claims,age_of_vehicle_rank,age_of_policyholder_rank,days_policy_accident_rank,days_policy_claim_rank,number_of_suppliments_rank,address_change_claim_rank,number_of_cars_rank,Make,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,AccidentArea,PoliceReportFiled,WitnessPresent,AgentType,BasePolicy,expected_hours,expected_recovery,investigation_cost,narrative_text,FraudFound_P,llm_keywords,llm_explanation,llm_suspicion_adjustment
8703,34,24500,400,1,0,6,4,4,3,0,0,0,Pontiac,Male,Married,Policy Holder,Sedan - All Perils,Sedan,Urban,No,No,External,All Perils,4,9800.0,1400,"도심 도로에서 계약자가 운전하던 세단 차량이 단독 사고로 손상을 입었다고 주장하며 접수되었으나, 사고 발생일로부터 30일 이상 경과한 시점에 뒤늦게 청구가 이루어졌다. 사고 당시 경찰에 신고하지 않았고 현장 목격자도 확인되지 않아 사고 경위를 객관적으로 입증할 자료가 부족한 상태이다. 또한 해당 차량에는 블랙박스가 장착되어 있지 않아 사고 상황을 영상으로 확인할 수 없었다. 계약자는 과거 청구 이력이 없는 상태로 종합담보(All Perils)로 가입되어 있으며, 차량가액은 2만~2.9만 구간에 해당한다. 지연 접수와 물적 증거 부재로 인해 사고 경위에 대한 추가 확인이 필요한 것으로 판단된다.",1,지연신고|블랙박스 미장착|목격자 부재|경찰 미신고|단독사고 입증자료 부족,"사고 발생 후 30일 이상 지난 지연 청구, 경찰 미신고, 목격자 부재, 블랙박스 미장착 등 사고 경위를 객관적으로 입증할 물적 증거가 전혀 없어 사기 의심 정황이 다수 확인된다. 다만 과거 청구 이력이 없는 점은 참작 요소이나 전체적으로 의심도를 높이는 정황이 우세하다.",0.6
5917,30,24500,500,4,5,5,4,4,3,0,3,0,Mazda,Male,Single,Policy Holder,Sedan - Collision,Sedan,Urban,No,No,External,Collision,5,9800.0,1750,"사고는 도심 도로에서 발생하였으며, 계약자가 운전 중 전방 주시 소홀로 진행하던 세단 차량이 다른 차량과 충돌하면서 발생하였다. 사고 당시 계약자의 과실로 확인되었으며, 별도의 목격자는 없었던 것으로 파악된다. 사고 발생 당시 경찰에는 신고하지 않았고, 계약자는 사고 발생 이후 30일 이상 경과한 시점에 보험사에 사고를 접수하였다. 차량은 자차담보(대물사고 충돌손해) 대상으로 접수되었으며, 사고 경위 및 손상 부위에 대한 추가 확인이 진행될 예정이다.",0,지연신고(사고 후 30일 이상 경과 접수)|경찰 미신고|목격자 부재,"사고 발생 후 30일 이상 경과한 시점에 보험사에 접수한 지연신고 정황이 명확히 확인되며, 경찰 신고 및 목격자도 없어 사고 경위 확인이 어려운 상황이다. 이러한 지연신고와 객관적 증빙 부재는 보험사기 조사에서 흔히 나타나는 의심 정황이므로 의심도를 상향 조정한다.",0.4
5080,48,24500,400,4,0,6,6,4,3,0,0,0,Toyota,Male,Married,Policy Holder,Sedan - Collision,Sedan,Rural,No,No,External,Collision,4,9800.0,1400,"한적한 지방 도로에서 계약자가 운전하던 세단 차량이 단독으로 충돌하여 손상을 입은 사고로, 계약자 본인 과실로 발생한 것으로 확인된다. 사고 당시 경찰에 신고하지 않았으며, 목격자도 존재하지 않아 사고 경위를 객관적으로 뒷받침할 자료가 부족한 상태이다. 특히 해당 차량에는 블랙박스가 장착되어 있지 않아 충돌 상황을 영상으로 확인할 수 없었다. 사고 발생일로부터 30일 이상이 지난 시점에 보험사에 접수되어 그 사유에 대한 추가 확인이 필요하다. 계약자는 과거 보험금 청구 이력이 없는 상태이다.",1,블랙박스 미장착|지연신고|목격자 없음|경찰 미신고,"단독사고임에도 경찰 미신고, 목격자 부재, 블랙박스 미장착으로 사고 경위를 객관적으로 확인할 자료가 없고, 사고 발생 30일 이상 경과 후 지연 접수되어 사유 확인이 필요한 점이 사기 의심 정황으로 판단된다. 다만 과거 보험금 청구 이력이 없는 점은 특이사항으로 보지 않았다.",0.5
9454,58,15000,400,3,3,7,7,4,3,0,0,0,Pontiac,Male,Married,Policy Holder,Sedan - All Perils,Sedan,Urban,No,No,External,All Perils,5,6000.0,1750,"사고는 도심지 도로에서 계약자가 운행하던 세단 차량으로 인해 발생하였으며, 사고 경위 확인 결과 계약자 측 과실로 판단된다. 사고 당시 경찰에 신고하지 않았고 목격자도 없어 현장 상황은 계약자의 진술을 토대로 파악하였다. 계약자는 사고 발생일로부터 30일 이상 지난 후 보험사에 청구를 접수하였다. 해당 차량은 차량가액 2만 미만으로 종합(All Perils) 담보가 적용되어 있으며, 계약자는 51세에서 65세 사이로 과거 2건에서 4건의 청구 이력이 확인된다.",0,지연신고|목격자 없음|경찰 미신고|반복 청구 이력,"사고 발생 30일 이상 경과 후 청구 접수(지연신고), 경찰 미신고 및 목격자 부재로 사고 경위가 계약자 진술에만 의존하는 점, 과거 2~4건의 청구 이력이 있는 점이 사기 의심 정황으로 판단되어 보정치를 상향하였다. 다만 나이롱환자·한방병원 장기입원·블랙박스 미장착 관련 언급은 본문에 없어 포함하지 않았다.",0.4
8363,40,24500,400,3,0,5,5,4,3,0,0,0,Toyota,Male,Married,Policy Holder,Sedan - All Perils,Sedan,Urban,No,No,External,All Perils,4,9800.0,1400,"도심 도로에서 계약자 본인 과실로 세단 차량 사고가 발생하였다. 사고 당시 경찰에 신고하지 않았으며, 목격자도 확인되지 않아 사고 경위를 객관적으로 뒷받침할 자료가 부족한 상태이다. 해당 차량에는 블랙박스가 장착되어 있지 않아 충격 상황이나 사고 경로를 영상으로 확인할 수 없었다. 사고 발생 후 30일 이상이 지난 시점에 보험사에 청구가 이루어져 접수가 지연된 경위에 대한 추가 확인이 필요하다. 계약자는 과거 청구 이력이 없는 상태로, 전 위험을 담보하는 특약이 적용되어 있다.",1,블랙박스 미장착|지연신고|목격자 미확인|경찰 미신고,"사고 당시 경찰 미신고 및 목격자 부재로 객관적 입증자료가 없고, 블랙박스 미장착으로 사고 경위 확인이 불가하며, 사고 발생 30일 이상 경과 후 지연 청구된 점 등 복수의 전형적 사기 의심 정황이 본문에서 확인되어 의심도를 상향 조정함.",0.5
14485,24,75000,400,2,0,4,3,2,2,0,3,0,Honda,Female,Single,Policy Holder,Sport - Collision,Sport,Urban,No,No,External,Collision,4,30000.0,1400,"도심 도로에서 계약자가 단독으로 운행하던 고가의 스포츠카량 차량으로 충돌사고가 발생하였으며, 과실은 계약자 본인에게 있는 것으로 확인된다. 사고 당시 경찰에 신고하지 않았고 현장 목격자도 없어 사고 경위를 객관적으로 뒷받침할 자료가 부족한 상태이다. 또한 차량에 블랙박스가 장착되어 있지 않아 충돌 상황 및 파손 경위에 대한 영상 자료 확보가 불가능하다. 계약자는 사고 발생일로부터 약 20일이 경과한 시점에서야 보험사에 사고 접수를 하여 지연 사유에 대한 추가 확인이 필요하다. 계약자는 과거 보험금 청구 이력이 없는 상태이다.",1,지연신고(약 20일 경과)|블랙박스 미장착|목격자 없음|경찰 미신고|고가 스포츠카 단독사고,"경찰 미신고, 목격자 부재, 블랙박스 미장착으로 사고 경위를 객관적으로 확인할 자료가 전혀 없고, 사고 후 약 20일이 지나서야 보험사에 접수한 지연신고 정황이 겹쳐 고가차량 단독사고에 대한 의심도를 높였다. 다만 과거 청구 이력이 없다는 점은 특이사항으로 보기 어려워 반영하지 않았다.",0.5
11145,30,34500,400,2,3,5,4,4,3,3,0,0,Mazda,Male,Single,Third Party,Sedan - Collision,Sedan,Urban,No,No,External,Collision,6,13800.0,2100,"사고는 도심 도로에서 발생하였으며, 계약자 차량인 세단 차량이 상대방 차량의 과실로 인해 충돌 피해를 입었다. 사고 당시 경찰에 신고하지 않았으며, 목격자도 확인되지 않았다. 계약자는 사고 발생 후 30일이 경과한 시점에 보험금을 청구하였다. 사고 경위 및 손상 부위는 청구인 진술과 차량 상태를 토대로 확인되었으며, 기본 담보인 자차 손해 항목으로 접수되었다.",0,지연신고|경찰 미신고|목격자 없음,"사고 발생 후 30일이 지나서야 보험금을 청구한 지연신고 정황이 있고, 경찰 신고 및 목격자 확인이 없어 사고 경위 확인이 청구인 진술에만 의존하고 있어 의심도를 다소 상향 조정함.",0.3
14336,41,75000,400,4,1,5,5,4,3,0,0,0,Accura,Male,Single,Policy Holder,Utility - All Perils,Utility,Urban,No,No,External,All Perils,5,30000.0,1750,"도심 도로에서 계약자가 운전하던 고가의 유틸리티 차량이 단독 과실로 사고를 일으킨 건으로, 사고 발생 후 한 달 이상이 경과한 시점에서야 보험사에 청구가 접수되어 사고 경위 확인에 어려움이 있다. 사고 당시 경찰 신고는 이루어지지 않았으며, 차량에는 블랙박스가 장착되어 있지 않고 목격자도 존재하지 않아 사고 상황을 객관적으로 뒷받침할 자료가 부족하다. 계약자는 과거 1건의 청구 이력이 있는 상태로, 지연 접수 사유에 대한 소명이 명확하지 않아 추가 사실관계 확인이 필요하다. 담보는 전손보상을 포함한 종합담보로 가입되어 있어 차량가액 및 손상 부위에 대한 정밀 조사가 요구된다.",1,지연신고(사고 후 1개월 이상 경과 청구)|블랙박스 미장착|목격자 부재|경찰 미신고|지연 접수 사유 소명 불명확|고가 차량 전손담보,"사고 발생 후 한 달 이상 지연된 청구, 블랙박스 미장착 및 목격자 부재로 객관적 증빙 자료가 없는 점, 경찰 신고 미실시, 지연 사유에 대한 명확한 소명 부재 등 복합적인 사기 의심 정황이 본문에 명시되어 있어 의심도를 상향 조정함. 특히 고가 차량의 전손보상 담보 가입 상태에서 손상 부위 확인이 어려운 점이 추가 위험 요인으로 작용함.",0.6
2150,65,34500,400,1,1,7,7,4,3,1,0,0,Pontiac,Male,Married,Policy Holder,Sedan - Collision,Sedan,Urban,No,No,External,Collision,5,13800.0,1750,"사고는 도심지 도로에서 발생하였으며, 계약자가 운전하던 세단 차량이 진행 중 전방 차량과 충돌하여 파손되었다. 사고 당시 경찰에는 별도로 신고하지 않았고 목격자도 확인되지 않았다. 사고 발생 후 30일 이상 경과한 시점에 보험금이 청구되었으며, 계약자는 과거 1건의 청구 이력이 있는 것으로 확인된다. 사고 경위에 대해서는 계약자 본인의 과실로 발생한 것으로 진술하였으며, 차량 손상 상태는 충돌 부위와 대체로 일치한다.",0,지연신고|목격자 미확인|경찰 미신고,"사고 후 30일 이상 경과하여 보험금을 청구한 지연신고 정황과 경찰 미신고·목격자 부재가 확인되어 경미한 의심 요소가 있으나, 손상 부위가 사고 경위와 일치하고 나이롱환자·한방병원 장기입원·블랙박스 미장착 등 추가 정황은 본문에서 확인되지 않아 보정치를 크게 높이지 않았다.",0.3
906,61,24500,400,1,3,7,7,4,3,0,0,0,Toyota,Male,Married,Policy Holder,Sedan - All Perils,Sedan,Urban,No,No,External,All Perils,5,9800.0,1750,"사고는 도심 도로에서 계약자가 운전하던 세단 차량이 단독으로 발생시킨 것으로, 계약자 본인의 과실로 확인된다. 사고 당시 경찰에는 신고하지 않았으며, 차량에 블랙박스가 장착되어 있지 않고 현장 목격자도 존재하지 않아 사고 경위를 객관적으로 확인하기 어려운 상황이다. 특히 사고 발생일로부터 30일 이상이 경과한 뒤에야 보험사에 사고 접수가 이루어져, 사고 시점과 접수 시점 간 상당한 시간적 간극이 확인된다. 계약자는 과거에도 2건에서 4건의 보험금 청구 이력이 있어, 이번 사고 경위 및 접수 지연 사유에 대한 추가적인 사실관계 확인이 필요할 것으로 판단된다.",1,지연신고|블랙박스 미장착|목격자 없음|반복 보험금 청구 이력,"사고 발생 30일 이상 경과 후 접수된 지연신고, 블랙박스 미장착 및 목격자 부재로 인한 사고 경위 확인 곤란, 과거 2~4건의 보험금 청구 이력이 확인되어 사기 의심 정황이 뚜렷하다.",0.6
